tag,subject tag title,kind,level,parent,path,description,direct documents,total documents
xml,XML,technology,2,data-formats,/data-formats/xml,XML usage in protocols and XML-based formats,111,111
humor,Humor,topic,1,,/humor,"Humorous RFCs: the April 1st series and other whimsical documents (poems, parodies)",74,74
internet-architecture,Internet Architecture,topic,1,,/internet-architecture,Architectural principles of the Internet,128,128
internet-governance,Internet Governance,topic,1,,/internet-governance,"How the Internet and its standards are governed, administered, developed and published",79,816
iana,IANA,topic,2,internet-governance,/internet-governance/iana,"IANA registries, considerations guidance and stewardship",187,187
ietf-process,IETF Process,topic,2,internet-governance,/internet-governance/ietf-process,"IETF standards process, procedures and administration",323,335
nomcom,NomCom,topic,3,ietf-process,/internet-governance/ietf-process/nomcom,IETF nominating committee procedures,12,12
ipr,IPR,topic,2,internet-governance,/internet-governance/ipr,"Intellectual property rights, copyright and trust legal provisions",25,25
rfc-series,RFC Series,topic,2,internet-governance,/internet-governance/rfc-series,"The RFC series: format, style, editor and publication",74,84
rfcxml,RFCXML,technology,3,rfc-series,/internet-governance/rfc-series/rfcxml,"RFCXML, the XML vocabulary for RFCs and Internet-Drafts (processed by xml2rfc)",10,10
terminology,Terminology,topic,2,internet-governance,/internet-governance/terminology,"Glossaries, definitions and requirements language",64,64
user-documentation,User Documentation,topic,2,internet-governance,/internet-governance/user-documentation,Introductory guides and FYI documents for Internet users,44,44
workshop-reports,Workshop Reports,topic,2,internet-governance,/internet-governance/workshop-reports,"Reports from IAB, IRTF and community workshops",50,50
internet-history,Internet History,topic,1,,/internet-history,Histories and retrospectives of the Internet and its protocols,6,6
internet-layer,Internet Layer,topic,1,,/internet-layer,"The IP layer in general: datagram delivery, the protocol suite, network-layer matters",6,1458
addressing,Addressing,topic,2,internet-layer,/internet-layer/addressing,"IP address architecture, allocation and use",106,200
anycast,Anycast,topic,3,addressing,/internet-layer/addressing/anycast,Anycast addressing and operation,21,21
cidr,CIDR,technology,3,addressing,/internet-layer/addressing/cidr,Classless inter-domain routing and aggregation,17,17
multihoming,Multihoming,topic,3,addressing,/internet-layer/addressing/multihoming,Multihoming architectures,35,41
shim6,Shim6,technology,4,multihoming,/internet-layer/addressing/multihoming/shim6,The Shim6 host multihoming shim,6,6
renumbering,Renumbering,topic,3,addressing,/internet-layer/addressing/renumbering,Site renumbering procedures,15,15
appletalk,AppleTalk,technology,2,internet-layer,/internet-layer/appletalk,AppleTalk protocols and tunnelling,6,6
captive-portal,Captive portals,technology,2,internet-layer,/internet-layer/captive-portal,Captive portal detection and interaction,3,3
decnet,DECnet,technology,2,internet-layer,/internet-layer/decnet,DECnet protocol suite over IP infrastructure,5,5
dhcp,DHCP,technology,2,internet-layer,/internet-layer/dhcp,Dynamic Host Configuration Protocol,94,168
dhcpv6,DHCPv6,technology,3,dhcp,/internet-layer/dhcp/dhcpv6,DHCP for IPv6,74,74
drip,DRIP,technology,2,internet-layer,/internet-layer/drip,Drone Remote Identification Protocol,5,5
hip,HIP,technology,2,internet-layer,/internet-layer/hip,Host Identity Protocol,31,31
homenet,Homenet,technology,2,internet-layer,/internet-layer/homenet,Home network architecture and protocols,11,11
icmp,ICMP,technology,2,internet-layer,/internet-layer/icmp,Internet Control Message Protocol (v4 and v6),36,36
icn,Information-Centric Networking,technology,2,internet-layer,/internet-layer/icn,Information-centric and named-data networking,27,27
ilnp,ILNP,technology,2,internet-layer,/internet-layer/ilnp,The Identifier-Locator Network Protocol,9,9
ip-mobility,IP Mobility,topic,2,internet-layer,/internet-layer/ip-mobility,IP-layer host and network mobility,60,186
mobile-ipv4,Mobile IPv4,technology,3,ip-mobility,/internet-layer/ip-mobility/mobile-ipv4,Mobile IPv4,22,22
mobile-ipv6,Mobile IPv6,technology,3,ip-mobility,/internet-layer/ip-mobility/mobile-ipv6,Mobile IPv6,91,91
nemo,NEMO,technology,3,ip-mobility,/internet-layer/ip-mobility/nemo,Network mobility (NEMO),16,16
pmipv6,Proxy Mobile IPv6,technology,3,ip-mobility,/internet-layer/ip-mobility/pmipv6,Proxy Mobile IPv6 and network-based mobility,43,43
ipng,IPng,technology,2,internet-layer,/internet-layer/ipng,"Historic IP next-generation candidate protocols (TUBA, PIP, SIPP, TP/IX)",17,17
ipv4,IPv4,technology,2,internet-layer,/internet-layer/ipv4,Internet Protocol version 4 and its address lifecycle,254,254
ipv6,IPv6,technology,2,internet-layer,/internet-layer/ipv6,"Internet Protocol version 6: specification, addressing, deployment",553,736
ipv6-transition,IPv6 Transition,topic,3,ipv6,/internet-layer/ipv6/ipv6-transition,IPv6/IPv4 coexistence and transition mechanisms,56,117
464xlat,464XLAT,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/464xlat,464XLAT combined translation,7,7
6rd,6rd,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/6rd,IPv6 rapid deployment (6rd),6,6
6to4,6to4,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/6to4,The 6to4 automatic tunnelling mechanism,8,8
ds-lite,DS-Lite,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/ds-lite,Dual-Stack Lite,17,17
happy-eyeballs,Happy Eyeballs,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/happy-eyeballs,Happy Eyeballs connection racing,4,4
map,MAP (Mapping of Address and Port),technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/map,Mapping of address and port (MAP-E and MAP-T),12,12
nat64,NAT64,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/nat64,Stateful NAT64 translation,22,22
teredo,Teredo,technology,4,ipv6-transition,/internet-layer/ipv6/ipv6-transition/teredo,Teredo: IPv6 through NATs via UDP,3,3
neighbor-discovery,Neighbor Discovery,technology,3,ipv6,/internet-layer/ipv6/neighbor-discovery,IPv6 neighbor discovery,31,53
send,SEND,technology,4,neighbor-discovery,/internet-layer/ipv6/neighbor-discovery/send,Secure Neighbor Discovery,22,22
slaac,SLAAC,technology,3,ipv6,/internet-layer/ipv6/slaac,IPv6 stateless address autoconfiguration,17,17
ipx,IPX,technology,2,internet-layer,/internet-layer/ipx,Novell IPX interworking,12,12
nat,NAT,technology,2,internet-layer,/internet-layer/nat,"Network address translation: behaviour, requirements, deployment",73,97
cgn,Carrier-Grade NAT,technology,3,nat,/internet-layer/nat/cgn,Carrier-grade NAT,13,13
pcp,PCP,technology,3,nat,/internet-layer/nat/pcp,Port Control Protocol,13,13
osi,OSI,technology,2,internet-layer,/internet-layer/osi,OSI network-layer protocols and coexistence with IP,46,57
clnp,CLNP,technology,3,osi,/internet-layer/osi/clnp,The Connectionless Network Protocol,11,11
pmtud,Path MTU Discovery,technology,2,internet-layer,/internet-layer/pmtud,Path MTU discovery,10,10
savi,SAVI,technology,2,internet-layer,/internet-layer/savi,Source address validation,9,9
tunneling,Tunneling,topic,2,internet-layer,/internet-layer/tunneling,IP-in-IP encapsulation and generic tunnelling,93,111
gre,GRE,technology,3,tunneling,/internet-layer/tunneling/gre,Generic Routing Encapsulation,16,16
ip-in-ip,IP-in-IP,technology,3,tunneling,/internet-layer/tunneling/ip-in-ip,IP-in-IP encapsulation,2,2
vehicular-networking,Vehicular Networking,technology,2,internet-layer,/internet-layer/vehicular-networking,IP in vehicular (V2X) environments,2,2
iot,IoT,topic,1,,/iot,"Internet of Things: architectures, terminology, guidance for constrained devices",25,164
6lowpan,6LoWPAN,technology,2,iot,/iot/6lowpan,IPv6 over low-power personal-area and constrained link layers,40,40
6tisch,6TiSCH,technology,2,iot,/iot/6tisch,IPv6 over TSCH IEEE 802.15.4e networks,8,8
ace,ACE,technology,2,iot,/iot/ace,Authentication and authorization for constrained environments,15,18
edhoc,EDHOC,technology,3,ace,/iot/ace/edhoc,Ephemeral Diffie-Hellman over COSE key exchange,3,3
coap,CoAP,technology,2,iot,/iot/coap,The Constrained Application Protocol,42,50
oscore,OSCORE,technology,3,coap,/iot/coap/oscore,Object security for constrained RESTful environments,8,8
lpwan,LPWAN,technology,2,iot,/iot/lpwan,Low-power wide-area networks,1,8
schc,SCHC,technology,3,lpwan,/iot/lpwan/schc,Static context header compression,7,7
mud,MUD,technology,2,iot,/iot/mud,Manufacturer Usage Descriptions,4,4
rpl,RPL,technology,2,iot,/iot/rpl,The RPL routing protocol for low-power and lossy networks,33,33
sdf,SDF,technology,2,iot,/iot/sdf,Semantic Definition Format for IoT data models,1,1
senml,SenML,technology,2,iot,/iot/senml,Sensor Measurement Lists data format,5,5
suit,SUIT,technology,2,iot,/iot/suit,Software update for IoT devices,3,3
link-layer,Link Layer,topic,1,,/link-layer,"Link and data-link layers in general, not specific to one medium",10,633
amateur-radio,Amateur Radio,technology,2,link-layer,/link-layer/amateur-radio,Amateur packet radio (AX.25) and IP,1,1
arp,ARP,technology,2,link-layer,/link-layer/arp,The Address Resolution Protocol,40,40
atm,ATM,technology,2,link-layer,/link-layer/atm,Asynchronous Transfer Mode and IP over ATM,89,100
nhrp,NHRP,technology,3,atm,/link-layer/atm/nhrp,Next Hop Resolution Protocol for NBMA networks,11,11
capwap,CAPWAP,technology,2,link-layer,/link-layer/capwap,Control and provisioning of wireless access points,15,15
docsis,DOCSIS,technology,2,link-layer,/link-layer/docsis,DOCSIS cable access networks,16,16
dsl,DSL,technology,2,link-layer,/link-layer/dsl,Digital subscriber line access networks,23,23
dvb,DVB,technology,2,link-layer,/link-layer/dvb,IP over MPEG-2/DVB broadcast links,12,12
ethernet,Ethernet,technology,2,link-layer,/link-layer/ethernet,"IP over Ethernet, Ethernet interworking and OAM",149,149
fddi,FDDI,technology,2,link-layer,/link-layer/fddi,IP over FDDI,10,10
firewire,FireWire,technology,2,link-layer,/link-layer/firewire,IP over IEEE 1394 (FireWire),3,3
frame-relay,Frame Relay,technology,2,link-layer,/link-layer/frame-relay,Frame relay and IP interworking,26,26
infiniband,InfiniBand,technology,2,link-layer,/link-layer/infiniband,IP over InfiniBand,6,6
isdn,ISDN,technology,2,link-layer,/link-layer/isdn,ISDN access and IP,14,14
l2tp,L2TP,technology,2,link-layer,/link-layer/l2tp,Layer Two Tunneling Protocol,28,28
paws,PAWS,technology,2,link-layer,/link-layer/paws,Protocol to access TV white-space databases,2,2
ppp,PPP,technology,2,link-layer,/link-layer/ppp,The Point-to-Point Protocol and its control protocols,112,119
pppoe,PPPoE,technology,3,ppp,/link-layer/ppp/pppoe,PPP over Ethernet,7,7
satellite,Satellite links,technology,2,link-layer,/link-layer/satellite,Networking over satellite links,13,13
slip,SLIP,technology,2,link-layer,/link-layer/slip,Serial Line IP,6,6
smds,SMDS,technology,2,link-layer,/link-layer/smds,Switched Multimegabit Data Service,4,4
sna,SNA,technology,2,link-layer,/link-layer/sna,IBM SNA interworking,20,29
tn3270,TN3270,technology,3,sna,/link-layer/sna/tn3270,TN3270 terminal emulation,9,9
sonet,SONET/SDH,technology,2,link-layer,/link-layer/sonet,IP and multi-access protocols over SONET/SDH,33,33
token-ring,Token Ring,technology,2,link-layer,/link-layer/token-ring,IP over token ring,7,7
wifi,Wi-Fi,technology,2,link-layer,/link-layer/wifi,IP over IEEE 802.11 wireless LANs,29,29
wimax,WiMAX,technology,2,link-layer,/link-layer/wimax,IP over IEEE 802.16 (WiMAX) networks,9,9
x25,X.25,technology,2,link-layer,/link-layer/x25,X.25 and IP over public data networks,19,19
messaging,Messaging,topic,1,,/messaging,Messaging in general: store-and-forward and interpersonal message systems,8,919
edi,EDI,technology,2,messaging,/messaging/edi,Electronic Data Interchange over Internet transports,22,22
email,Email,technology,2,messaging,/messaging/email,"Electronic mail: architecture, transport, access and formats",73,485
eai,Email Address Internationalization,technology,3,email,/messaging/email/eai,Email address internationalization,21,21
email-authentication,Email Authentication,topic,3,email,/messaging/email/email-authentication,Email domain authentication and anti-spoofing,8,63
arc,ARC,technology,4,email-authentication,/messaging/email/email-authentication/arc,Authenticated Received Chain,1,1
dkim,DKIM,technology,4,email-authentication,/messaging/email/email-authentication/dkim,DomainKeys Identified Mail,30,30
dmarc,DMARC,technology,4,email-authentication,/messaging/email/email-authentication/dmarc,"Domain-based Message Authentication, Reporting and Conformance",9,9
spf,SPF,technology,4,email-authentication,/messaging/email/email-authentication/spf,Sender Policy Framework,34,34
imap,IMAP,technology,3,email,/messaging/email/imap,Internet Message Access Protocol,113,113
jmap,JMAP,technology,3,email,/messaging/email/jmap,JSON Meta Application Protocol for mail and related data,13,13
mailing-lists,Mailing Lists,technology,3,email,/messaging/email/mailing-lists,"Mailing list protocols, headers and management",21,21
message-format,Internet Message Format,technology,3,email,/messaging/email/message-format,"Internet message format: headers, addressing, disposition",42,42
pop3,POP3,technology,3,email,/messaging/email/pop3,Post Office Protocol,27,27
sieve,Sieve,technology,3,email,/messaging/email/sieve,Sieve email filtering language,61,61
smtp,SMTP,technology,3,email,/messaging/email/smtp,Simple Mail Transfer Protocol and mail relaying/submission,130,130
spam,Spam,topic,3,email,/messaging/email/spam,"Unsolicited bulk email: filtering, reporting, reputation",27,27
vpim,VPIM,technology,3,email,/messaging/email/vpim,Voice Profile for Internet Mail: voice messaging,14,14
fax,Fax,technology,2,messaging,/messaging/fax,Facsimile over Internet mail and IP,50,50
instant-messaging,Instant Messaging,technology,2,messaging,/messaging/instant-messaging,Instant messaging and presence,51,93
msrp,MSRP,technology,3,instant-messaging,/messaging/instant-messaging/msrp,Message Session Relay Protocol,14,14
xmpp,XMPP,technology,3,instant-messaging,/messaging/instant-messaging/xmpp,Extensible Messaging and Presence Protocol,32,32
mime,MIME,technology,2,messaging,/messaging/mime,Multipurpose Internet Mail Extensions: body structure and encodings,184,283
media-types,Media Types,technology,3,mime,/messaging/mime/media-types,Media (MIME) type registrations and registry rules,99,99
netnews,Netnews,technology,2,messaging,/messaging/netnews,Netnews article format and distribution,11,21
nntp,NNTP,technology,3,netnews,/messaging/netnews/nntp,Network News Transfer Protocol,10,10
paging,Paging,technology,2,messaging,/messaging/paging,Radio and network paging protocols,8,8
uucp,UUCP,technology,2,messaging,/messaging/uucp,UUCP mail interchange,2,2
x400,X.400,technology,2,messaging,/messaging/x400,X.400 message handling systems and interworking,42,42
naming,Naming,topic,1,,/naming,"Naming and name resolution in general, not specific to one system",27,647
dns,DNS,technology,2,naming,/naming/dns,"The Domain Name System: protocol, resource records, resolver and server behaviour, operations",298,441
dane,DANE,technology,3,dns,/naming/dns/dane,DNS-Based Authentication of Named Entities: TLSA and certificate association via DNSSEC,11,11
dns-privacy,DNS Privacy,topic,3,dns,/naming/dns/dns-privacy,Encrypted and privacy-preserving DNS transport,11,20
doh,DNS over HTTPS,technology,4,dns-privacy,/naming/dns/dns-privacy/doh,DNS over HTTPS,7,7
dot,DNS over TLS,technology,4,dns-privacy,/naming/dns/dns-privacy/dot,DNS over TLS,2,2
oblivious-dns,Oblivious DNS,technology,4,dns-privacy,/naming/dns/dns-privacy/oblivious-dns,Oblivious DNS over HTTPS,1,1
dns-sd,DNS-SD,technology,3,dns,/naming/dns/dns-sd,DNS-based Service Discovery,9,9
dns-update,DNS Update,technology,3,dns,/naming/dns/dns-update,Dynamic DNS updates,3,3
dns64,DNS64,technology,3,dns,/naming/dns/dns64,DNS64 address synthesis for IPv6/IPv4 translation,9,9
dnssec,DNSSEC,technology,3,dns,/naming/dns/dnssec,"DNS Security Extensions: signing, validation, trust anchors, NSEC/NSEC3",86,86
edns,EDNS,technology,3,dns,/naming/dns/edns,Extension Mechanisms for DNS (EDNS(0)) and EDNS options,8,8
mdns,mDNS,technology,3,dns,/naming/dns/mdns,Multicast DNS,11,11
special-use-domain-names,Special-Use Domain Names,technology,3,dns,/naming/dns/special-use-domain-names,Special-use and reserved domain names,5,5
domain-registration,Domain Registration,topic,2,naming,/naming/domain-registration,Domain registry and registrar operations and protocols,6,116
epp,EPP,technology,3,domain-registration,/naming/domain-registration/epp,Extensible Provisioning Protocol for registry objects,56,56
rdap,RDAP,technology,3,domain-registration,/naming/domain-registration/rdap,Registration Data Access Protocol,36,36
whois,WHOIS,technology,3,domain-registration,/naming/domain-registration/whois,WHOIS and legacy registration data directory services,53,53
enum,ENUM,technology,2,naming,/naming/enum,ENUM: E.164 telephone number mapping in the DNS,33,33
handle-system,Handle System,technology,2,naming,/naming/handle-system,The Handle System persistent identifier infrastructure,3,3
hostnames,Hostnames,technology,2,naming,/naming/hostnames,Host naming conventions and host tables,25,25
idn,IDN,technology,2,naming,/naming/idn,"Internationalized Domain Names: IDNA, punycode, label validity",24,24
service-discovery,Service Discovery,topic,2,naming,/naming/service-discovery,Discovering services and resources on a network,9,9
slp,SLP,technology,2,naming,/naming/slp,Service Location Protocol,17,17
uuid,UUID,technology,2,naming,/naming/uuid,Universally Unique Identifiers,9,9
zeroconf,Zeroconf,technology,2,naming,/naming/zeroconf,Zero-configuration networking,1,1
network-management,Network Management,topic,1,,/network-management,"Network operations and management: manageability, operational considerations, Network management architectures and operational practice",76,1180
autonomic-networking,Autonomic Networking,topic,2,network-management,/network-management/autonomic-networking,Autonomic and self-managing network infrastructure,15,15
benchmarking,Benchmarking,topic,2,network-management,/network-management/benchmarking,Benchmarking methodology for network devices and functions,49,49
energy-management,Energy Management,topic,2,network-management,/network-management/energy-management,Energy monitoring and management of networked devices,7,7
i2rs,I2RS,technology,2,network-management,/network-management/i2rs,Interface to the routing system,12,12
ipfix,IPFIX,technology,2,network-management,/network-management/ipfix,IP flow information export and packet sampling,57,57
netconf,NETCONF,technology,2,network-management,/network-management/netconf,The NETCONF configuration protocol,47,70
restconf,RESTCONF,technology,3,netconf,/network-management/netconf/restconf,RESTCONF: NETCONF semantics over HTTP,23,23
oam,OAM,topic,2,network-management,/network-management/oam,"Operations, administration and maintenance mechanisms",73,73
operational-security,Operational Security,topic,2,network-management,/network-management/operational-security,Operational security practices for network infrastructure,23,23
ovsdb,OVSDB,technology,2,network-management,/network-management/ovsdb,The Open vSwitch Database management protocol,1,1
packet-capture,Packet Capture,technology,2,network-management,/network-management/packet-capture,Packet capture and trace file formats,3,3
performance-measurement,Performance Measurement,topic,2,network-management,/network-management/performance-measurement,Active and passive network performance metrics and methods,114,140
lmap,LMAP,technology,3,performance-measurement,/network-management/performance-measurement/lmap,Large-scale measurement platforms,4,4
owamp,OWAMP,technology,3,performance-measurement,/network-management/performance-measurement/owamp,One-Way Active Measurement Protocol,7,7
stamp,STAMP,technology,3,performance-measurement,/network-management/performance-measurement/stamp,Simple Two-way Active Measurement Protocol,7,7
twamp,TWAMP,technology,3,performance-measurement,/network-management/performance-measurement/twamp,Two-Way Active Measurement Protocol,16,16
policy-management,Policy Management,topic,2,network-management,/network-management/policy-management,Policy-based network management information models,9,9
snmp,SNMP,technology,2,network-management,/network-management/snmp,Simple Network Management Protocol framework and security,72,527
agentx,AgentX,technology,3,snmp,/network-management/snmp/agentx,AgentX subagent protocol,3,3
mib,MIB,technology,3,snmp,/network-management/snmp/mib,Management Information Base modules and SMI,453,453
rmon,RMON,technology,3,snmp,/network-management/snmp/rmon,Remote network monitoring,25,25
sustainability,Sustainability,topic,2,network-management,/network-management/sustainability,Energy efficiency and environmental impact of Internet infrastructure,2,2
syslog,Syslog,technology,2,network-management,/network-management/syslog,The syslog logging protocol,14,14
time-synchronization,Time Synchronization,topic,2,network-management,/network-management/time-synchronization,Clock synchronization over networks,16,56
ntp,NTP,technology,3,time-synchronization,/network-management/time-synchronization/ntp,Network Time Protocol,40,40
ptp,PTP,technology,3,time-synchronization,/network-management/time-synchronization/ptp,Precision Time Protocol over IP networks,8,8
y2k,Y2K,topic,2,network-management,/network-management/y2k,Year 2000 readiness,1,1
yang,YANG,technology,2,network-management,/network-management/yang,YANG data modelling language and models,152,152
real-time-communications,Real-Time Communications,topic,1,,/real-time-communications,"Real-time voice, video and media communication in general",6,911
codecs,Codecs,technology,2,real-time-communications,/real-time-communications/codecs,Audio and video codec definitions and containers,32,46
ffv1,FFV1,technology,3,codecs,/real-time-communications/codecs/ffv1,FFV1 lossless video coding,4,4
matroska,Matroska,technology,3,codecs,/real-time-communications/codecs/matroska,Matroska media container,4,4
opus,Opus,technology,3,codecs,/real-time-communications/codecs/opus,The Opus audio codec,7,7
vp8,VP8,technology,3,codecs,/real-time-communications/codecs/vp8,The VP8 video codec,3,3
conferencing,Conferencing,topic,2,real-time-communications,/real-time-communications/conferencing,Multiparty conferencing frameworks and control,34,51
bfcp,BFCP,technology,3,conferencing,/real-time-communications/conferencing/bfcp,Binary Floor Control Protocol,8,8
telepresence,Telepresence,technology,3,conferencing,/real-time-communications/conferencing/telepresence,Telepresence (CLUE) multi-stream conferencing,9,9
emergency-services,Emergency Services,topic,2,real-time-communications,/real-time-communications/emergency-services,Emergency calling and preparedness communications,35,35
media-gateway,Media Gateways,technology,2,real-time-communications,/real-time-communications/media-gateway,Decomposed media gateway control,4,26
megaco,Megaco/H.248,technology,3,media-gateway,/real-time-communications/media-gateway/megaco,Megaco/H.248 gateway control,9,9
mgcp,MGCP,technology,3,media-gateway,/real-time-communications/media-gateway/mgcp,Media Gateway Control Protocol,13,13
mrcp,MRCP,technology,2,real-time-communications,/real-time-communications/mrcp,Media Resource Control Protocol: speech services,3,3
nat-traversal,NAT Traversal,topic,2,real-time-communications,/real-time-communications/nat-traversal,Interactive traversal of NATs for real-time media,13,49
ice,ICE,technology,3,nat-traversal,/real-time-communications/nat-traversal/ice,Interactive Connectivity Establishment,10,10
stun,STUN,technology,3,nat-traversal,/real-time-communications/nat-traversal/stun,Session Traversal Utilities for NAT,22,22
turn,TURN,technology,3,nat-traversal,/real-time-communications/nat-traversal/turn,Traversal Using Relays around NAT,19,19
pstn-interop,PSTN Interworking,topic,2,real-time-communications,/real-time-communications/pstn-interop,PSTN/Internet interworking and telephony routing,28,28
